1,EKENÄSET 에케네세트 ,"549,000",https://www.ikea.com/kr/ko/p/ekenaeset-3-seat-sofa-kelinge-grey-turquoise-50533519/,1950년대 스칸디나비아 스타일에서 영감을 받은 슬림하고 튼튼한 소파예요. 원목의 긴 다리와 경사진 프레임뿐 아니라 스테인 마감과 천연 나뭇결 패턴도 레트로 감성을 살려주고 있어요.,폭:174 cm 깊이:78 cm 높이:75 cm 가구 밑 여유공간:22 cm 팔걸이 높이:63 cm 시트 폭:160 cm 시트 깊이:50 cm 시트 높이:42 cm 폭:65 cm 높이:32 cm 길이:166 cm 무게:32.50 kg
1,GRÖNLID 그뢴리드 ,"1,249,000",https://www.ikea.com/kr/ko/p/groenlid-4-seat-sofa-with-chaise-longue-inseros-white-s09407142/,긴의자는 좌우 어디에든 놓을 수 있고 언제든지 위치를 바꿀 수 있습니다.,"H(등쿠션포함):104 cm 등받이H:68 cm 긴의자 D:164 cm 폭:328 cm 깊이:98 cm 시트 깊이, 롱체어:126 cm 가구 밑 여유공간:7 cm 팔걸이 너비:18 cm 팔걸이 높이:68 cm 시트 폭:292 cm 시트 깊이:60 cm 시트 높이:49 cm 폭:83 cm 높이:54 cm 길이:212 cm 무게:59.49 kg 폭:62 cm 높이:19 cm 길이:95 cm 무게:10.60 kg 폭:37 cm 높이:7 cm 길이:57 cm 무게:3.60 kg 폭:21 cm 높이:4 cm 길이:35 cm 무게:0.88 kg 폭:84 cm 높이:48 cm 길이:146 cm 무게:49.94 kg 폭:37 cm 높이:11 cm 길이:57 cm 무게:6.60 kg"
1,PÄRUP 페루프 ,"579,000",https://www.ikea.com/kr/ko/p/paerup-2-seat-sofa-bed-vissle-grey-s89389139/,빠르고 간편하게 소파를 넓은 침대로 변신시켜보세요.,폭:166 cm 깊이:83 cm 시트 폭:140 cm 시트 깊이:50 cm 시트 높이:45 cm 팔걸이 높이:69 cm 팔걸이 너비:13 cm 등받이H:69 cm 매트리스 두께:7 cm H(등쿠션포함):86 cm 침대 길이:200 cm 침대 폭:140 cm 총 길이 (펼쳤을 때):223 cm 폭:37 cm 높이:20 cm 길이:57 cm 무게:5.60 kg 폭:86 cm 높이:39 cm 길이:146 cm 무게:38.00 kg 폭:86 cm 높이:34 cm 길이:144 cm 무게:31.83 kg
1,VINLIDEN 빈리덴 ,"799,000",https://www.ikea.com/kr/ko/p/vinliden-3-seat-sofa-with-chaise-longue-hakebo-beige-s29304671/,VINLIDEN 빈리덴 소파는 앉거나 누웠을 때 아늑하게 감싸줍니다. 크고 부드러운 쿠션에 푹 빠져보세요. 조립과 해체도 아주 쉬워서 이사 갈 때 가져가기도 좋습니다!,"폭:233 cm 시트 폭, 라운지체어:70 cm 깊이:162 cm 높이:108 cm 시트 깊이, 롱체어:124 cm 가구 밑 여유공간:9 cm 팔걸이 높이:59 cm 시트 폭:209 cm 시트 깊이:59 cm 시트 높이:53 cm 폭:80 cm 높이:25 cm 길이:101 cm 무게:24.50 kg 폭:56 cm 높이:13 cm 길이:75 cm 무게:6.61 kg 폭:32 cm 높이:11 cm 길이:212 cm 무게:20.10 kg 폭:79 cm 높이:47 cm 길이:79 cm 무게:15.55 kg 폭:79 cm 높이:48 cm 길이:139 cm 무게:25.04 kg"
1,KIVIK 쉬비크 ,"449,000",https://www.ikea.com/kr/ko/p/kivik-1-seat-sofa-bed-tibbleby-beige-grey-s19470232/,원착 방식으로 염색된 부드러운 폴리에스테르 패브릭인 TIBBLEBY 티블레뷔로 만든 이 커튼에 약간의 광택과 차분한 헤링본 패턴을 입혔어요.,침대 길이:197 cm 침대 폭:90 cm 시트 깊이:60 cm 시트 폭:90 cm 총 길이 (펼쳤을 때):223 cm 높이:86 cm 깊이:97 cm 폭:90 cm 침대높이:28 cm 시트 높이:43 cm 폭:37 cm 높이:8 cm 길이:57 cm 무게:2.82 kg 폭:93 cm 높이:67 cm 길이:98 cm 무게:51.90 kg
1,LINANÄS 리나네스 ,"499,000",https://www.ikea.com/kr/ko/p/linanaes-3-seat-sofa-with-chaise-longue-vissle-beige-50512239/,이 커버는 폴리에스테르(폴리에스테르 원착) 소재의 VISSLE/비슬레 패브릭으로 제작됩니다. 매끄러운 직조와 멋진 투톤 효과가 있는 내구성 높은 소재입니다.,"깊이:80.5 cm 높이:76.0 cm 시트 깊이:59 cm 시트 높이:46 cm 폭:197 cm 팔걸이 높이:66 cm 긴의자 D:145 cm 가구 밑 여유공간:15 cm 시트 깊이, 롱체어:127 cm 시트 폭:178 cm 폭:67 cm 높이:32 cm 길이:123 cm 무게:27.45 kg 폭:68 cm 높이:32 cm 길이:133 cm 무게:18.03 kg"
1,SÖDERHAMN 쇠데르함 ,"430,000",https://www.ikea.com/kr/ko/p/soederhamn-1-seat-section-viarp-beige-brown-s09305662/,스타일리시하고 산뜻한 느낌이 좋다면 시트가 깊고 넓은 소파는 어떨까요? 개성을 살려 맞춤 구성한 SÖDERHAMN 쇠데르함 소파에 혼자 또는 가족 모두와 함께 앉아 편안한 휴식을 즐겨보세요.,폭:93 cm 깊이:99 cm 높이:83 cm 시트 폭:93 cm 시트 깊이:48 cm 시트 높이:40 cm 폭:97 cm 높이:26 cm 길이:97 cm 무게:25.50 kg 폭:37 cm 높이:8 cm 길이:57 cm 무게:2.75 kg
1,EKTORP 엑토르프 ,"449,000",https://www.ikea.com/kr/ko/p/ektorp-2-seat-sofa-totebo-light-beige-s19319994/,IKEA EKTORP/엑토르프 소파는 클래식한 디자인과 두툼하고 안락한 쿠션으로 많은 사랑을 받아온 제품입니다. 커버는 쉽게 교체할 수 있어 분위기나 계절에 따라 다양한 인테리어를 시도해볼 수 있어요.,폭:179 cm 깊이:88 cm 시트 깊이:49 cm 시트 높이:45 cm 높이:88 cm 폭:38 cm 높이:8 cm 길이:57 cm 무게:3.20 kg 폭:88 cm 높이:43 cm 길이:203 cm 무게:60.50 kg
1,LINANÄS 리나네스 ,"50,000",https://www.ikea.com/kr/ko/p/linanaes-sofa-protector-for-2-seat-sofa-vissle-dark-green-00542762/,커버는 물세탁 가능하며 간편하게 벗겨내고 다시 씌울 수 있어 깔끔하게 관리하기 편합니다.,폭:36 cm 높이:4 cm 길이:55 cm 무게:1.66 kg
1,FRIHETEN 프리헤텐 ,"649,000",https://www.ikea.com/kr/ko/p/friheten-corner-sofa-bed-with-storage-skiftebo-dark-grey-s09216755/,"푹 주무셨나요? 간밤에 사용했던 침실이나 게스트룸이 순식간에 넓은 거실로 변신할 수 있어요. 빌트인수납장에 침구, 책, 파자마를 담기만 하면 된답니다.",길이:230 cm 깊이:151 cm 높이:66 cm 침대 폭:140 cm 침대 길이:204 cm 폭:82 cm 높이:42 cm 길이:140 cm 무게:35.00 kg 폭:64 cm 높이:27 cm 길이:207 cm 무게:41.30 kg 폭:74 cm 높이:40 cm 길이:145 cm 무게:45.00 kg
